thema,quelle,n_teachers,mean,std,range
Museums as a form of entertainment or education?,ClaudeOpus4.6,9,5.137777777777778,0.5327241891714652,2.0
Why you should exercise,MiniMax-M2.7,9,5.342222222222222,0.5325155767732743,1.5
Locker checks,MiniMax-M2.7,9,5.238888888888889,0.5298940029109479,1.5
Solve traffic and housing problems by moving companies to the rural areas?,ClaudeOpus4.7,9,5.072222222222222,0.5264931734869838,1.6500000000000004
International sporting occasions help to ease international tensions,MiniMax-M2.7,9,5.0811111111111105,0.5252395103282658,1.5699999999999994
Why you should exercise,ClaudeOpus4.6,9,5.166666666666667,0.5213017893270228,1.5
Knowledge from experience is more important than that from books,MiniMax-M2.7,9,5.096666666666667,0.5182663407939975,1.8599999999999999
International sporting occasions help to ease international tensions,GPT-5.5,9,4.874444444444444,0.5174748756351173,1.5
Why you should exercise,GLM-5.1,9,5.183333333333334,0.5162686639079825,1.5
Is image more powerful than the written word?,ChatGPT-3,9,4.667777777777777,0.5159624830843975,1.5
International sporting occasions help to ease international tensions,Gemini3.1Pro,9,5.152222222222222,0.5123101876744808,1.71
International sporting occasions help to ease international tensions,GLM-5.1,9,4.985555555555555,0.5099043725403837,1.5
International sporting occasions help to ease international tensions,Student,9,3.223333333333333,0.506951674225463,1.5699999999999998
Museums as a form of entertainment or education?,GPT-5.5,9,5.016666666666667,0.501973881569328,1.5
Traditional games or modern games in developing children's skills,Gemini3.1Pro,9,5.357777777777778,0.5017918509983945,1.4299999999999997
Museums as a form of entertainment or education?,ChatGPT-3,9,4.588888888888889,0.5017401816443878,1.7100000000000004
Solve traffic and housing problems by moving companies to the rural areas?,ChatGPT-4,9,5.055555555555555,0.5011345153440699,1.4300000000000006
Solve traffic and housing problems by moving companies to the rural areas?,GPT-5.5,9,4.986666666666666,0.5005330491918925,1.5
Locker checks,Student,9,3.8577777777777778,0.4960236951727604,1.71
Locker checks,ClaudeOpus4.7,9,5.2555555555555555,0.4953138423960466,1.5699999999999994
Museums as a form of entertainment or education?,GLM-5.1,9,5.2155555555555555,0.4943033506553801,1.8599999999999994
museums and art galleries will disappear soon?,ChatGPT-4,9,5.263333333333333,0.4920704556598915,1.5
Knowledge from experience is more important than that from books,ChatGPT-4,9,5.238888888888889,0.49085966413685195,1.5699999999999994
museums and art galleries will disappear soon?,MiniMax-M2.7,9,5.153333333333332,0.4904193217147048,1.5700000000000003
Solve traffic and housing problems by moving companies to the rural areas?,ClaudeOpus4.6,9,5.002222222222222,0.4895525798063592,1.4299999999999997
The Non-Issue of Same Sex Marriage,Qwen3.6Plus,9,5.437777777777778,0.4879840110718059,1.5
The Non-Issue of Same Sex Marriage,GLM-5.1,9,4.618888888888889,0.4869507035155828,1.5000000000000004
Giving mobile phones to the unemployed,DeepSeek-V3.2,9,5.414444444444444,0.48609809506383717,1.6399999999999997
Knowledge from experience is more important than that from books,Student,9,3.81,0.48479090567194244,1.4999999999999996
The Non-Issue of Same Sex Marriage,DeepSeek-V3.2,9,5.2555555555555555,0.48403652550679616,1.4299999999999997
Several languages are in danger of extinction,GPT-5.5,9,4.985555555555555,0.48198919100630616,1.3600000000000003
Why you should exercise,ChatGPT-3,9,5.056666666666667,0.4786323107447814,1.3600000000000003
Solve traffic and housing problems by moving companies to the rural areas?,Gemini3.1Pro,9,5.1211111111111105,0.477201202486248,1.5700000000000003
Everyone Should Go Camping,GPT-5.5,9,4.666666666666667,0.4766550115125193,1.6399999999999997
International sporting occasions help to ease international tensions,ChatGPT-4,9,5.279999999999999,0.4750204673952949,1.3599999999999994
Locker checks,ChatGPT-3,9,4.753333333333334,0.4747865017270628,1.5
Giving mobile phones to the unemployed,ChatGPT-4,9,5.311111111111111,0.4731559396328831,1.5
Several languages are in danger of extinction,ChatGPT-3,9,4.922222222222222,0.4729288830205464,1.4299999999999997
museums and art galleries will disappear soon?,ClaudeOpus4.6,9,5.279999999999999,0.4703899091888203,1.5
Giving mobile phones to the unemployed,ChatGPT-3,9,4.561111111111112,0.4699041142011951,1.6399999999999997
museums and art galleries will disappear soon?,Kimi-K2.6,9,5.254444444444444,0.4690915833611245,1.5
Museums as a form of entertainment or education?,DeepSeek-V3.2,9,5.366666666666666,0.46861498055439915,1.6399999999999997
Several languages are in danger of extinction,GLM-5.1,9,4.803333333333333,0.46709504148275627,1.4299999999999997
Giving mobile phones to the unemployed,DeepSeek-V4Pro,9,5.5088888888888885,0.46643909795252514,1.5
Museums as a form of entertainment or education?,DeepSeek-V4Pro,9,5.595555555555555,0.4639710506081917,1.5700000000000003
Knowledge from experience is more important than that from books,ClaudeOpus4.6,9,5.017777777777777,0.4634359065784316,1.4299999999999997
Is image more powerful than the written word?,GPT-5.5,9,5.002222222222222,0.46259600271553913,1.3600000000000003
Is image more powerful than the written word?,MiniMax-M2.7,9,4.898888888888888,0.4569328772598747,1.21
Giving mobile phones to the unemployed,Qwen3.6Plus,9,5.493333333333333,0.45684911197364847,1.5700000000000003
Locker checks,Qwen3.6Plus,9,5.3966666666666665,0.4564598071632985,1.5700000000000003
museums and art galleries will disappear soon?,GPT-5.5,9,4.97,0.45499694748670816,1.4299999999999997
Why you should exercise,DeepSeek-V3.2,9,5.2155555555555555,0.45186308425626037,1.5
Is image more powerful than the written word?,GLM-5.1,9,4.857777777777778,0.45133820228239724,1.3600000000000003
Artists' freedom to express ideas,Gemini3.1Pro,9,5.024444444444445,0.450064467261478,1.2800000000000002
Locker checks,ClaudeOpus4.6,9,4.953333333333333,0.44912260142539157,1.4299999999999997
Locker checks,GLM-5.1,9,4.9511111111111115,0.44764679639307997,1.3499999999999996
The Non-Issue of Same Sex Marriage,Kimi-K2.6,9,5.153333333333332,0.44641784114088545,1.5
Knowledge from experience is more important than that from books,DeepSeek-V3.2,9,4.953333333333333,0.4456455991031439,1.3600000000000003
Is image more powerful than the written word?,Gemini3.1Pro,9,5.341111111111111,0.4455818778592136,1.5
Museums as a form of entertainment or education?,Student,9,3.9433333333333334,0.44487201655207653,1.42
Solve traffic and housing problems by moving companies to the rural areas?,DeepSeek-V3.2,9,5.262222222222222,0.44469159794620655,1.5
Traditional games or modern games in developing children's skills,MiniMax-M2.7,9,4.953333333333333,0.44419715342526805,1.42
museums and art galleries will disappear soon?,DeepSeek-V4Pro,9,5.35,0.44367155018599547,1.3599999999999994
Giving mobile phones to the unemployed,ClaudeOpus4.6,9,4.961111111111111,0.44315646708695067,1.3600000000000003
Several languages are in danger of extinction,ChatGPT-4,9,5.334444444444444,0.4428973071620079,1.2199999999999998
Traditional games or modern games in developing children's skills,Kimi-K2.6,9,5.358888888888888,0.4401627084119499,1.5
Giving mobile phones to the unemployed,Gemini3.1Pro,9,5.405555555555555,0.4399522981998821,1.29
Why you should exercise,ClaudeOpus4.7,9,5.334444444444444,0.439168687183489,1.5
Several languages are in danger of extinction,Student,9,3.4522222222222223,0.4384765995980421,1.4300000000000002
International sporting occasions help to ease international tensions,DeepSeek-V3.2,9,5.2155555555555555,0.4332336067581685,1.29
Museums as a form of entertainment or education?,Gemini3.1Pro,9,5.461111111111111,0.43316520955108107,1.6399999999999997
Is image more powerful than the written word?,ChatGPT-4,9,5.104444444444444,0.43079025861035936,1.3600000000000003
museums and art galleries will disappear soon?,Student,9,3.7866666666666666,0.43019375479737815,1.2200000000000002
Giving mobile phones to the unemployed,GPT-5.5,9,5.042222222222222,0.428194602119119,1.3600000000000003
Is image more powerful than the written word?,ClaudeOpus4.6,9,5.183333333333334,0.4279148409568324,1.1500000000000004
Giving mobile phones to the unemployed,GLM-5.1,9,4.994444444444444,0.4256788333189735,1.29
Artists' freedom to express ideas,MiniMax-M2.7,9,5.1433333333333335,0.425258091568455,1.5
Giving mobile phones to the unemployed,MiniMax-M2.7,9,4.9688888888888885,0.42524357580736255,1.3600000000000003
Knowledge from experience is more important than that from books,GLM-5.1,9,5.074444444444444,0.4243193532944813,1.5
Knowledge from experience is more important than that from books,DeepSeek-V4Pro,9,5.301111111111111,0.42109498649867694,1.2199999999999998
The Non-Issue of Same Sex Marriage,DeepSeek-V4Pro,9,5.247777777777777,0.4203114659333738,1.29
Solve traffic and housing problems by moving companies to the rural areas?,ChatGPT-3,9,4.635555555555555,0.419208542934344,1.42
Artists' freedom to express ideas,ClaudeOpus4.6,9,5.087777777777777,0.4182444202398024,1.5
Knowledge from experience is more important than that from books,ChatGPT-3,9,4.608888888888889,0.4174378049334466,1.5
Artists' freedom to express ideas,Qwen3.6Plus,9,5.405555555555555,0.41686958022093695,1.0
Traditional games or modern games in developing children's skills,ClaudeOpus4.7,9,5.16,0.4145948490862964,1.5
Should governments be responsible to help the unemployed and homeless,GPT-5.5,9,4.96,0.41362892656206834,1.5
The Non-Issue of Same Sex Marriage,MiniMax-M2.7,9,5.112222222222222,0.4135692277876092,1.1399999999999997
Artists' freedom to express ideas,GPT-5.5,9,4.842222222222222,0.41262783279253207,1.1399999999999997
Everyone Should Go Camping,GLM-5.1,9,5.025555555555555,0.4117472555696464,1.4299999999999997
Everyone Should Go Camping,Gemini3.1Pro,9,5.427777777777778,0.40769753978975304,1.29
Artists' freedom to express ideas,Kimi-K2.6,9,5.285555555555556,0.40672434320805617,1.4299999999999997
Everyone Should Go Camping,DeepSeek-V3.2,9,5.198888888888889,0.40371729504814086,1.5
The Non-Issue of Same Sex Marriage,ChatGPT-3,9,4.562222222222222,0.4028999814615637,1.21
Museums as a form of entertainment or education?,ChatGPT-4,9,5.2555555555555555,0.402578111429905,1.3599999999999994
Artists' freedom to express ideas,ChatGPT-3,9,4.3244444444444445,0.40016971708156,1.3599999999999999
Locker checks,GPT-5.5,9,5.183333333333334,0.3999166579843022,1.3600000000000003
Artists' freedom to express ideas,ChatGPT-4,9,4.904444444444445,0.3994471488086479,1.1400000000000006
Traditional games or modern games in developing children's skills,DeepSeek-V3.2,9,5.381111111111111,0.39795154491315315,1.1399999999999997
Museums as a form of entertainment or education?,Kimi-K2.6,9,5.501111111111111,0.3948964546264541,1.4299999999999997
Several languages are in danger of extinction,MiniMax-M2.7,9,5.43,0.3942926155365664,1.0699999999999994
Several languages are in danger of extinction,Gemini3.1Pro,9,5.405555555555555,0.3934212080119477,1.1399999999999997
Locker checks,ChatGPT-4,9,4.9511111111111115,0.39224268124167005,1.2800000000000002
Is image more powerful than the written word?,Student,9,4.174444444444444,0.3910416605004044,1.15
International sporting occasions help to ease international tensions,ClaudeOpus4.7,9,5.271111111111111,0.3880848831676001,1.1399999999999997
Locker checks,Kimi-K2.6,9,5.39,0.3819249489974001,1.29
Why you should exercise,ChatGPT-4,9,5.422222222222222,0.38188938997154587,1.0699999999999994
Is image more powerful than the written word?,ClaudeOpus4.7,9,5.304444444444444,0.3758283033251314,1.0700000000000003
Traditional games or modern games in developing children's skills,Qwen3.6Plus,9,5.398888888888888,0.3741789365306521,1.1399999999999997
Why you should exercise,Kimi-K2.6,9,5.31,0.37199163670407676,1.2199999999999998
museums and art galleries will disappear soon?,DeepSeek-V3.2,9,5.524444444444445,0.3716662514530151,1.0700000000000003
Giving mobile phones to the unemployed,Student,9,3.9911111111111115,0.3705084927634945,1.1399999999999997
Artists' freedom to express ideas,DeepSeek-V4Pro,9,5.325555555555556,0.36974799559553206,1.29
Museums as a form of entertainment or education?,Qwen3.6Plus,9,5.525555555555555,0.3675779920600709,1.21
Knowledge from experience is more important than that from books,ClaudeOpus4.7,9,5.397777777777778,0.36568893210176373,1.1399999999999997
Why you should exercise,DeepSeek-V4Pro,9,5.507777777777778,0.36373915494418,1.0700000000000003
Traditional games or modern games in developing children's skills,DeepSeek-V4Pro,9,5.39,0.3628896373401819,1.0699999999999994
Several languages are in danger of extinction,DeepSeek-V4Pro,9,5.571111111111112,0.35635327179778736,1.0700000000000003
Solve traffic and housing problems by moving companies to the rural areas?,Qwen3.6Plus,9,5.286666666666666,0.355715241918776,1.2200000000000006
Should governments be responsible to help the unemployed and homeless,Student,9,4.04111111111111,0.3551664537601253,1.2799999999999998
Solve traffic and housing problems by moving companies to the rural areas?,DeepSeek-V4Pro,9,5.31,0.34618556359912583,1.2199999999999998
Is image more powerful than the written word?,Qwen3.6Plus,9,5.461111111111111,0.3461035312171601,1.21
Knowledge from experience is more important than that from books,Gemini3.1Pro,9,5.523333333333333,0.34302575219167825,1.29
Giving mobile phones to the unemployed,ClaudeOpus4.7,9,5.1033333333333335,0.34250709643905336,1.1399999999999997
Should governments be responsible to help the unemployed and homeless,ChatGPT-4,9,5.341111111111111,0.3422943646903429,1.08
Everyone Should Go Camping,Student,9,4.833333333333333,0.33931303148174746,0.9199999999999999
Several languages are in danger of extinction,ClaudeOpus4.7,9,5.39,0.3389526351702976,1.0699999999999994
Everyone Should Go Camping,Kimi-K2.6,9,5.295555555555556,0.3352647746719038,1.1399999999999997
Everyone Should Go Camping,ClaudeOpus4.6,9,5.167777777777777,0.3344573640915412,1.08
Should governments be responsible to help the unemployed and homeless,GLM-5.1,9,5.088888888888889,0.3323801185538577,1.08
Should governments be responsible to help the unemployed and homeless,ClaudeOpus4.6,9,5.128888888888889,0.33087239717129097,1.08
Museums as a form of entertainment or education?,ClaudeOpus4.7,9,5.3677777777777775,0.33054761895234047,1.0699999999999994
museums and art galleries will disappear soon?,Qwen3.6Plus,9,5.547777777777778,0.3287274378494466,1.0
museums and art galleries will disappear soon?,Gemini3.1Pro,9,5.453333333333333,0.32792275513195684,1.21
Is image more powerful than the written word?,DeepSeek-V3.2,9,5.382222222222222,0.3270670260148107,1.0
Everyone Should Go Camping,MiniMax-M2.7,9,5.1755555555555555,0.3262960860973805,1.08
International sporting occasions help to ease international tensions,ChatGPT-3,9,4.492222222222222,0.325090680606633,0.9299999999999997
Everyone Should Go Camping,DeepSeek-V4Pro,9,5.357777777777778,0.3226548819396758,1.0699999999999994
Giving mobile phones to the unemployed,Kimi-K2.6,9,5.127777777777777,0.32224137874090514,0.9299999999999997
Knowledge from experience is more important than that from books,Kimi-K2.6,9,5.452222222222222,0.32179281732809156,1.0699999999999994
Solve traffic and housing problems by moving companies to the rural areas?,MiniMax-M2.7,9,5.285555555555556,0.3160910948554445,1.0700000000000003
Solve traffic and housing problems by moving companies to the rural areas?,Kimi-K2.6,9,5.223333333333333,0.31524241113431695,0.8600000000000003
Should governments be responsible to help the unemployed and homeless,ChatGPT-3,9,4.825555555555556,0.3122716449614239,1.08
Why you should exercise,Qwen3.6Plus,9,5.428888888888888,0.3113927296819331,1.0
Knowledge from experience is more important than that from books,Qwen3.6Plus,9,5.595555555555555,0.310451682091723,1.0
Should governments be responsible to help the unemployed and homeless,ClaudeOpus4.7,9,5.295555555555556,0.3091964895269712,1.0
International sporting occasions help to ease international tensions,Qwen3.6Plus,9,5.492222222222222,0.3025366011935224,1.0
Should governments be responsible to help the unemployed and homeless,MiniMax-M2.7,9,5.279999999999999,0.30195658260382024,1.0
Artists' freedom to express ideas,ClaudeOpus4.7,9,5.262222222222222,0.3016538773634363,1.0
Should governments be responsible to help the unemployed and homeless,Kimi-K2.6,9,5.1611111111111105,0.30130989748262105,1.0
Should governments be responsible to help the unemployed and homeless,DeepSeek-V3.2,9,5.398888888888888,0.2998682838419578,1.0
Several languages are in danger of extinction,Qwen3.6Plus,9,5.635555555555555,0.2969141705802505,0.8600000000000003
Is image more powerful than the written word?,Kimi-K2.6,9,5.627777777777777,0.29366563669050466,0.9299999999999997
Artists' freedom to express ideas,DeepSeek-V3.2,9,5.095555555555555,0.28971676249250017,0.9299999999999997
Artists' freedom to express ideas,Student,9,3.8988888888888886,0.28660636747382856,0.9300000000000002
Several languages are in danger of extinction,DeepSeek-V3.2,9,5.754444444444444,0.27725283732086337,0.6399999999999997
Everyone Should Go Camping,ChatGPT-4,9,5.246666666666666,0.2709243436828813,0.79
Is image more powerful than the written word?,DeepSeek-V4Pro,9,5.516666666666667,0.270801280154532,0.8600000000000003
Everyone Should Go Camping,ClaudeOpus4.7,9,5.238888888888889,0.27028562852592497,0.9299999999999997
Everyone Should Go Camping,Qwen3.6Plus,9,5.618888888888889,0.2680565630378304,0.8600000000000003
International sporting occasions help to ease international tensions,DeepSeek-V4Pro,9,5.635555555555555,0.2653346361404829,0.71
Museums as a form of entertainment or education?,MiniMax-M2.7,9,5.358888888888888,0.26463578511877806,1.0
Should governments be responsible to help the unemployed and homeless,DeepSeek-V4Pro,9,5.54111111111111,0.2598052451974338,0.8599999999999994
International sporting occasions help to ease international tensions,Kimi-K2.6,9,5.651111111111111,0.2481686005944098,0.5700000000000003
Solve traffic and housing problems by moving companies to the rural areas?,Student,9,4.698888888888889,0.24392368772240788,0.71
Why you should exercise,Gemini3.1Pro,9,5.618888888888889,0.24149738643372717,0.79
Knowledge from experience is more important than that from books,GPT-5.5,9,5.168888888888889,0.2358174644575966,0.5699999999999994
Traditional games or modern games in developing children's skills,Student,9,4.612222222222222,0.2347943676107424,0.6500000000000004
Should governments be responsible to help the unemployed and homeless,Qwen3.6Plus,9,5.494444444444444,0.21868857162189492,0.6399999999999997
Several languages are in danger of extinction,Kimi-K2.6,9,5.683333333333334,0.19748417658131498,0.5
Should governments be responsible to help the unemployed and homeless,Gemini3.1Pro,9,5.411111111111111,0.18993826157432467,0.5700000000000003
