session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
b4dbb94da2d74595805e1596aa1d1753,Student,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,3.64,4.0,4.0,3.5,3.5,3.5,3.5,3.5
864f6e9117714d20af6defddb2c6a708,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.29,4.5,4.5,4.5,4.5,4.0,4.0,4.0
4fd38ce92ea449bdb04ab17b2e6f2e0f,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
4b6be3969f7c4f6b89ef720125cb5e6c,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
a7b0e74fdb5745f39db61c74a88524ec,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
cdd5a14d2360465abc5fd481f3a05b85,GLM-5.1,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.57,4.5,4.5,5.0,5.0,4.0,4.5,4.5
c25c942f87824078b4ad7e4a14175792,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
635e3308d4d045829388f84e63ddff0c,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
dad466603cf44894aafb9caf32d552e8,GPT-5.5,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
a1fd85fbf3804a349486919520f857fa,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
32803f3814bd451abf6581058df06e61,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
cd4041f9fcc548459b76d16a7f2154f3,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
8797a20db4d84c48920a4b6e79aae6b8,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-27T01:16:43.617223+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5facc7e58ccc4fd1a9d656069d8ff696,Student,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,3.43,4.0,3.5,3.5,3.0,3.5,3.5,3.0
908c77fdbb7147238bf24f3efe357e49,ChatGPT-3,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
b0eceac011cf4e538b72911476985e34,ChatGPT-4,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.64,4.5,4.5,5.0,5.0,4.5,4.5,4.5
ef591e5ff931499eb7488886b2c273e9,Qwen3.6Plus,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
77cf5c37407e4525ac2cd7ddd0c8dd9a,Kimi-K2.6,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
fdc9326b45dd484ba13f16e486d09563,GLM-5.1,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
d63156ba3f904fccafd8c25ebc711564,MiniMax-M2.7,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
02b748b434864c5f83bf012794dd7dfd,DeepSeek-V3.2,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
74d148b2ab954317abbb71f21b07cf43,GPT-5.5,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
a1eeb642f8044f6b852df50262bdb16f,DeepSeek-V4Pro,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
62b6711e478f4d4ca83c29b6ece5cd49,ClaudeOpus4.6,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
a16da6c9bbde4a8c95122097a9d96858,ClaudeOpus4.7,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
c358fb083b4f47f7a2c049ac39e54a8e,Gemini3.1Pro,Locker checks,2026-04-27T01:16:49.793447+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
5d87e530b2f54e8d98f6ee469f481bd3,Student,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,3.43,4.0,3.5,3.5,3.0,3.5,3.5,3.0
6114e99215d345dd98387300c0ebeceb,ChatGPT-3,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
a75441b9cc2f4a028610716d61bdf2c1,ChatGPT-4,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
7de371d5026c446293c7ebf7c66898ee,Qwen3.6Plus,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.14,5.0,5.0,5.5,5.5,5.0,5.0,5.0
03d16a319c314816a563c1843b2736fe,Kimi-K2.6,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
d92ac027683b4568b9bef5d496ac0ac3,GLM-5.1,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
96493d82a4f043ad89b5665cf6183769,MiniMax-M2.7,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
98f2ff60887f4705adbeb2847cb62cb1,DeepSeek-V3.2,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
6ffe637dca7449299ba2bbb155ea35c3,GPT-5.5,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,3.93,4.0,4.0,4.0,4.0,3.5,4.0,4.0
6ff4bf2514b64673a59eb7b13a49cdba,DeepSeek-V4Pro,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
4924656a815d496e8f439872bd72a238,ClaudeOpus4.6,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
a2eb7364aedb4d618ffe1e8bcac6145e,ClaudeOpus4.7,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
4d61abf4d20f449ba4cfb2d1381377ea,Gemini3.1Pro,Why you should exercise,2026-04-27T01:16:55.810310+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.36,5.0,5.0,5.5,5.5,5.5,5.5,5.5
79bed92a78f64cb2b707ab95a8196873,Student,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,5.0,4.5,4.5,4.0,4.5,4.5,4.0
e4b15ce84ee64b39a634213a69763f51,ChatGPT-3,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.57,4.5,4.5,5.0,5.0,4.0,4.5,4.5
d6a5b87527b246acaea684341f569280,ChatGPT-4,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.86,4.5,5.0,5.0,5.0,4.5,5.0,5.0
1b2acf2f4dfb4517bac2c963c1bf9a67,Qwen3.6Plus,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
dafe05a83bb84d0fb066a363f33f134f,Kimi-K2.6,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
bd83e67181fe428593dfaa0c129afa0d,GLM-5.1,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
e50c20eb5408428480f350dfed860cd4,MiniMax-M2.7,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.64,4.5,4.5,5.0,5.0,4.5,4.5,4.5
fa5555d78a814b96973693a9c29fc3b6,DeepSeek-V3.2,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
337cb9bb754341b4806510c258e93135,GPT-5.5,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
90a1a23338cc47b08310ae0fa10b2ced,DeepSeek-V4Pro,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8a0d310dd0e34235b0136a89063b5215,ClaudeOpus4.6,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
56ea4da92c3542be97593b659e344974,ClaudeOpus4.7,Traditional games or modern games in developing children's skills,2026-04-27T01:17:01.637026+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
edbead5c35de41c88c6d86bc0fb8a9f1,Gemini3.1Pro,Museums as a form of entertainment or education?,2026-04-27T01:17:03.457020+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.71,6.0,6.0,6.0,5.5,5.5,5.5,5.5
56f3282a029d4d95be9c5a2e147948a6,Student,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,5.5,4.5,4.5,4.0,4.5,4.0,4.0
1aab04892d2440bf948862da595800b9,ChatGPT-3,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.14,4.0,4.5,4.5,4.5,3.5,4.0,4.0
6cf4e836d6ef4ff1aa154035909e1c2e,ChatGPT-4,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
12a9ca23f6df42c486dc0526cbf08522,Qwen3.6Plus,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
04479c35b4f942a881765c7fc188e080,Kimi-K2.6,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
6cb5ce7308bf44a5916b84ee101eb3f8,GLM-5.1,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.79,4.5,5.0,5.0,5.0,4.5,4.5,5.0
853f6954c35047978e218c13762712fc,MiniMax-M2.7,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
3abc8a87c0464d31abc53801c196c2c3,DeepSeek-V3.2,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
19c5c10c38c2429196cb959a5a1364de,GPT-5.5,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.36,4.5,4.5,4.5,4.5,4.0,4.0,4.5
97927a3f900e4452bb4d886a33095ff4,DeepSeek-V4Pro,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
63e43309359044fcbc8b54065b4080b4,ClaudeOpus4.6,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
dbdc2647aaa34722b14edb89a902c306,ClaudeOpus4.7,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
8c313b8c124e4a118bb8745f2ab376d4,Gemini3.1Pro,Everyone Should Go Camping,2026-04-27T01:17:08.911599+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
097955ded12d4964a55d49b54ae871ae,Student,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.64,5.0,5.0,4.5,4.5,4.5,4.5,4.5
919e5ddce98b4d249154bb745565a508,ChatGPT-3,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.57,4.5,4.5,5.0,5.0,4.0,4.5,4.5
692eb79e4b93478ea94acaf14956d58b,ChatGPT-4,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.0,4.5,5.0,5.0,4.0,4.5,4.5
a3456242ea0b4fd7b9c701e940eed52f,Qwen3.6Plus,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5fad798a07784c8bbade64abb4a4e09b,Kimi-K2.6,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.86,4.5,5.0,5.0,5.0,4.5,5.0,5.0
dcdab8d8c132494bb9ff2a657e62aad7,GLM-5.1,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.14,4.0,4.5,4.5,4.5,3.5,4.0,4.0
e9d83d48a7d64647b6c6415d305ab3f8,MiniMax-M2.7,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
768b12f43a3c4f8c966685fad7e991c2,DeepSeek-V3.2,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
b5d55e5d543640c3adf31796528d0552,GPT-5.5,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
bc6d81c35dc7431d9d2c394a39054560,DeepSeek-V4Pro,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
14ae92779eab41fe80e6ba5e5dda2c42,ClaudeOpus4.6,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
2cbce321b3b04c3b9e824946ea6d7625,ClaudeOpus4.7,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
6a5323c6af304e25b85bf1c5134b3da1,Gemini3.1Pro,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T01:17:14.868768+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
802c2199c6884f559d4a5a767e7f1645,Student,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,3.64,4.0,4.0,3.5,3.5,3.5,3.5,3.5
0fb46f0d18a3475fa5551ba7144a0ce1,ChatGPT-3,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
d608f499552749a288111edd4f128e0e,ChatGPT-4,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
9a5fc93c85034eb7b2f7f2bef67600ae,Qwen3.6Plus,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
75fc6634260c44d0af80c65a65617738,Kimi-K2.6,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
0fc489184c8949d485966952fc9ef11e,GLM-5.1,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
bf106dd7694f4c13a5f536efbc939419,MiniMax-M2.7,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
f3a218325f1145439bb920879791ddeb,DeepSeek-V3.2,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
06144883888a4b79a2a810f48037e1be,GPT-5.5,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0
24d80387ac3948128d3b158138b70a2a,DeepSeek-V4Pro,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
fe9724d19dc54a358c7859f14323338a,ClaudeOpus4.6,Giving mobile phones to the unemployed,2026-04-27T01:17:21.122991+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.43,4.5,4.5,4.5,4.5,4.0,4.5,4.5
