session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,teacher_folder
644442bb958b46caa62c136f7a0f4c68,ChatGPT-3,Traditional games or modern games in developing children's skills,2026-04-27T00:14:45.181490+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.64,5.0,5.0,5.0,4.5,4.0,4.5,4.5,claudeopus4-7-evaluator
497ffc2f274c47ae8090c43dcfb609be,ChatGPT-4,Traditional games or modern games in developing children's skills,2026-04-27T00:14:46.871981+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
526c5c708b734ee1866fa82996b23f91,Qwen3.6Plus,Traditional games or modern games in developing children's skills,2026-04-27T00:14:48.927498+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
611012c152f94f64be61ca1bfaa7daeb,Kimi-K2.6,Traditional games or modern games in developing children's skills,2026-04-27T00:17:51.810712+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6aaa9ab777784b6e9ae0d95b2c441ddd,GLM-5.1,Traditional games or modern games in developing children's skills,2026-04-27T00:17:54.689945+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2f5cc2746f9349fa87f5fe023e4391c7,MiniMax-M2.7,Traditional games or modern games in developing children's skills,2026-04-27T00:17:56.447819+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
2337b2fb3d66409e9d280fd335f45e03,DeepSeek-V3.2,Traditional games or modern games in developing children's skills,2026-04-27T00:17:58.253885+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6e54f8ec55e44f13a11dde91d8c53d9f,GPT-5.5,Traditional games or modern games in developing children's skills,2026-04-27T00:18:00.037148+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
69caae0fa2724dc19e685c1db39534c6,DeepSeek-V4Pro,Traditional games or modern games in developing children's skills,2026-04-27T00:18:01.936985+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
e6d5b9ed409c494995266af2bab3a426,ClaudeOpus4.6,Traditional games or modern games in developing children's skills,2026-04-27T00:18:04.056197+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.0,5.5,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
8138e1b32e6a4948b62b6d1e2ae289c0,ClaudeOpus4.7,Traditional games or modern games in developing children's skills,2026-04-27T00:18:06.504512+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
f13e74ba6f90437c84698e44ac0e007a,Gemini3.1Pro,Traditional games or modern games in developing children's skills,2026-04-27T00:18:08.626762+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
cdab0198fdef494a8bdf7caf27542cd1,Student,Museums as a form of entertainment or education?,2026-04-27T00:18:32.076641+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.5,5.0,5.0,4.5,4.0,4.0,4.5,4.5,claudeopus4-7-evaluator
dc93876bc530438480ce6965277ad70b,ChatGPT-3,Museums as a form of entertainment or education?,2026-04-27T00:18:33.873171+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.64,5.0,5.0,5.0,4.5,4.0,4.5,4.5,claudeopus4-7-evaluator
92951e3f67ee4122840f96590c98be40,ChatGPT-4,Museums as a form of entertainment or education?,2026-04-27T00:18:36.273732+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6cfd108d72ac41a9a24807a4debe409e,Qwen3.6Plus,Museums as a form of entertainment or education?,2026-04-27T00:18:38.007719+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2e97048ccb774ba3a7e67821ebd329f1,Kimi-K2.6,Museums as a form of entertainment or education?,2026-04-27T00:18:40.457873+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
cd11a1f7fd4d446f85f6d9107250383d,GLM-5.1,Museums as a form of entertainment or education?,2026-04-27T00:18:42.258478+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
00c17ab3ba864c8b9ead16fd2a58ae74,MiniMax-M2.7,Museums as a form of entertainment or education?,2026-04-27T00:18:44.337127+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
9b43c505bb2942e998911f99967b5ac1,DeepSeek-V3.2,Museums as a form of entertainment or education?,2026-04-27T00:18:46.354468+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6d2a833a0b114fb1b199c3e65b0aeeb2,GPT-5.5,Museums as a form of entertainment or education?,2026-04-27T00:18:48.270585+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
53f3e12d93f245ca800a77ede8a18e1e,DeepSeek-V4Pro,Museums as a form of entertainment or education?,2026-04-27T00:18:50.038633+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.57,6.0,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
0dc67995b964432c8df03ebb1477fa17,ClaudeOpus4.6,Museums as a form of entertainment or education?,2026-04-27T00:18:54.700304+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
88df925f051f498bacad73da59ddf57e,ClaudeOpus4.7,Museums as a form of entertainment or education?,2026-04-27T00:18:56.455834+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2809cb3e0015460aa56c404f67b55588,Gemini3.1Pro,Museums as a form of entertainment or education?,2026-04-27T00:19:00.965772+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
dfe9efad341d420fa370ff4c159bade2,Student,Everyone Should Go Camping,2026-04-27T00:19:26.619880+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.86,5.5,5.0,5.0,4.5,4.5,5.0,4.5,claudeopus4-7-evaluator
bf35937ce43c4e29866618caf16e8e00,ChatGPT-3,Everyone Should Go Camping,2026-04-27T00:19:28.292819+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.79,5.5,5.0,5.0,5.0,4.0,4.5,4.5,claudeopus4-7-evaluator
86b303ddb185490088c19b1552a93c75,ChatGPT-4,Everyone Should Go Camping,2026-04-27T00:19:30.448509+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
ea64de03ebed4dbea7ed8bccf7589d87,Qwen3.6Plus,Everyone Should Go Camping,2026-04-27T00:19:32.143520+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
f45e1fa3a0bc450e8e605651df80f6a9,Kimi-K2.6,Everyone Should Go Camping,2026-04-27T00:19:33.826504+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6a6e60a215f647f3b737a3e6038919ce,GLM-5.1,Everyone Should Go Camping,2026-04-27T00:19:35.603121+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
f090453dcab34cd89e43ae94e79218ab,MiniMax-M2.7,Everyone Should Go Camping,2026-04-27T00:19:37.476066+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
1091a933b4e94ce08cd19531b3792ad6,DeepSeek-V3.2,Everyone Should Go Camping,2026-04-27T00:19:39.977673+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
8bc72205029a4f6d8a2ad95662951063,GPT-5.5,Everyone Should Go Camping,2026-04-27T00:19:41.747452+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.21,5.5,5.5,5.5,5.0,5.0,5.0,5.0,claudeopus4-7-evaluator
9cd6e660e6784a4ea6213696712a3a03,DeepSeek-V4Pro,Everyone Should Go Camping,2026-04-27T00:19:43.742936+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
3efe016ba21a4cabaabf70524b5e87cf,ClaudeOpus4.6,Everyone Should Go Camping,2026-04-27T00:19:45.411886+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
b0e1d45423f4473f9b84273ba994b52d,ClaudeOpus4.7,Everyone Should Go Camping,2026-04-27T00:19:48.223915+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
7c8ea692ac9e40fba2a607bfad2684fe,Gemini3.1Pro,Everyone Should Go Camping,2026-04-27T00:19:49.863847+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.57,6.0,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
2ee99bd9eeda4db28b54618da052de06,Student,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:11.496803+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.86,5.5,5.0,5.0,4.5,4.5,5.0,4.5,claudeopus4-7-evaluator
630b20a35bae43fb8b0e88c052d90429,ChatGPT-3,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:13.200460+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
a2ccda69e5d6407496e3f2545f140ee3,ChatGPT-4,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:14.767793+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
eab4e16ae2de47d39a3a6e68e1cf791b,Qwen3.6Plus,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:16.513166+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
72001239a3b34b2784bfc348eff79207,Kimi-K2.6,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:18.276015+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
f1648ede54ac4bdf991679e9220056c8,GLM-5.1,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:20.488526+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.21,5.5,5.5,5.5,5.5,4.5,5.0,5.0,claudeopus4-7-evaluator
efd33e2034bc4a3a8cc5940dc517ab19,MiniMax-M2.7,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:25.127669+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
964bfb3822f1494198cbf3ded17b5673,DeepSeek-V3.2,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:30.919050+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
331fd51fc3124bc1b12f4aa674f4c01e,GPT-5.5,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:33.275906+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
d912b58b984d4c7b997f4643a6aae59e,DeepSeek-V4Pro,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:35.649702+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
5cd6253429364822955c661bb2e974c4,ClaudeOpus4.6,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:38.106221+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2bc94c3a6f584b94b1499a6f4de3ef50,ClaudeOpus4.7,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:39.811698+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
576a7b18ffd3441a86c5dfc2982dc439,Gemini3.1Pro,Solve traffic and housing problems by moving companies to the rural areas?,2026-04-27T00:20:41.451812+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
aa4fc441c01b472ab07826cccd507863,Student,Giving mobile phones to the unemployed,2026-04-27T00:21:02.898760+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.36,5.0,4.5,4.5,4.0,4.0,4.5,4.0,claudeopus4-7-evaluator
05afb25aa4b043b2971211d1296ff15b,ChatGPT-3,Giving mobile phones to the unemployed,2026-04-27T00:21:04.658255+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.64,5.0,5.0,5.0,4.5,4.0,4.5,4.5,claudeopus4-7-evaluator
